"cpsigen","cpsa3","cpsg1","cpso11","cpsa2"
"female","conservative","verymuch opposed","canada","very likely"
"female","liberal","somewhat opposed","canada","very likely"
"female","refused","verymuch opposed","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
"male","liberal","somewhat opposed","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
"male","d.k.","somewhat opposed","canada","very likely"
"female","d.k.","somewhat opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
"female","liberal","somewhat favour","canada","very likely"
"female","liberal","verymuch opposed","canada","d.k."
"male","d.k.","somewhat favour","canada","very likely"
"female","liberal","somewhat favour","canada","very likely"
"female","conservative","verymuch opposed","canada","somewhat likely"
"female","liberal","somewhat favour","canada","very likely"
"female","liberal","verymuch opposed","canada","very unlikely"
"female","d.k.","verymuch opposed","canada","somewhat likely"
"female","conservative","verymuch opposed","canada","very likely"
"female","conservative","somewhat opposed","canada","very likely"
"female","liberal","somewhat favour","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
"female","liberal","somewhat opposed","canada","very likely"
"male","conservative","verymuch opposed","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
NA,"liberal","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very unlikely"
"female","none","verymuch favour","canada","very unlikely"
"male","liberal","somewhat opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
NA,"liberal","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","conservative","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","ndp","verymuch opposed","canada","somewhat likely"
"female","d.k.","somewhat opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","somewhat likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","d.k.","somewhat favour","canada","very likely"
"female","refused","verymuch opposed","canada","very likely"
"female","d.k.","somewhat opposed","canada","very likely"
"female","liberal","somewhat opposed","canada","very likely"
"male","liberal","verymuch favour","canada","very likely"
"female","liberal","somewhat favour","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
"female","conservative","somewhat opposed","canada","very likely"
NA,"liberal","somewhat favour","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","none","somewhat favour","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","somewhat likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"male","refused","somewhat favour","canada","very likely"
"female","conservative","somewhat opposed","canada","d.k."
"female","liberal","verymuch favour","canada","very likely"
"female","liberal","somewhat opposed","canada","somewhat likely"
"female","refused","somewhat opposed","canada","very likely"
"female","liberal","verymuch favour","canada","very likely"
NA,"d.k.","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","liberal","somewhat opposed","canada","very likely"
"male","d.k.","somewhat opposed","canada","very likely"
"male","d.k.","somewhat favour","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"male","liberal","somewhat favour","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"male","liberal","somewhat opposed","canada","somewhat likely"
"female","d.k.","somewhat favour","canada","very likely"
"female","liberal","somewhat favour","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
"female","conservative","somewhat opposed","canada","very likely"
"female","conservative","verymuch opposed","czech/slovakia","somewhat likely"
"female","ndp","verymuch opposed","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
"female","liberal","somewhat favour","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"male","refused","somewhat opposed","canada","very likely"
"female","liberal","somewhat favour","canada","very likely"
"female","conservative","somewhat opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"male","liberal","somewhat opposed","canada","very likely"
"female","liberal","somewhat opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","refused","somewhat favour","canada","somewhat likely"
"male","conservative","verymuch opposed","canada","very likely"
"female","ndp","verymuch opposed","canada","very likely"
NA,"liberal","verymuch opposed","canada","very likely"
NA,"liberal","verymuch favour","canada","very likely"
"male","liberal","somewhat opposed","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
"female","d.k.","somewhat favour","canada","very likely"
NA,"d.k.","verymuch opposed","canada","somewhatunlikely"
"female","conservative","verymuch opposed","canada","somewhat likely"
"male","d.k.","verymuch opposed","canada","d.k."
"male","d.k.","d.k.","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","liberal","somewhat opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","conservative","somewhat opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"male","liberal","somewhat opposed","canada","very likely"
"female","conservative","somewhat opposed","canada","very likely"
"female","conservative","verymuch favour","canada","very likely"
"female","d.k.","somewhat favour","canada","very likely"
"female","d.k.","verymuch opposed","canada","somewhat likely"
NA,"liberal","somewhat favour","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"female","liberal","somewhat favour","canada","very likely"
NA,"liberal","somewhat favour","canada","somewhat likely"
"female","conservative","somewhat opposed","canada","very likely"
"female","ndp","somewhat opposed","canada","very likely"
"male","ndp","verymuch opposed","canada","very likely"
"female","conservative","verymuch opposed","canada","somewhat likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","d.k."
"male","d.k.","somewhat favour","canada","d.k."
"female","refused","somewhat opposed","canada","very likely"
"female","d.k.","verymuch favour","canada","somewhat likely"
"male","liberal","somewhat opposed","canada","very likely"
"female","d.k.","verymuch favour","canada","very unlikely"
"male","liberal","d.k.","canada","very likely"
"female","liberal","verymuch opposed","canada","d.k."
"female","d.k.","somewhat favour","canada","somewhat likely"
"male","d.k.","somewhat opposed","canada","somewhat likely"
"male","liberal","verymuch opposed","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
"female","conservative","verymuch favour","canada","very likely"
"female","will not vote","verymuch opposed","canada","very unlikely"
"female","liberal","somewhat favour","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","ndp","verymuch opposed","canada","very unlikely"
"male","liberal","verymuch opposed","canada","very likely"
"female","reform","verymuch opposed","canada","very likely"
"female","conservative","somewhat opposed","canada","very likely"
"female","reform","verymuch opposed","canada","very likely"
"male","other","somewhat opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","liberal","somewhat opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
"female","ndp","verymuch opposed","canada","very likely"
"female","d.k.","somewhat opposed","canada","somewhat likely"
"female","liberal","somewhat opposed","canada","very likely"
"female","liberal","somewhat favour","canada","very likely"
"female","d.k.","somewhat opposed","canada","somewhat likely"
"female","liberal","verymuch favour","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","refused","verymuch favour","canada","very likely"
"male","conservative","verymuch opposed","canada","d.k."
"female","conservative","verymuch opposed","u.k.,ireland","very likely"
"female","conservative","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","ndp","verymuch opposed","canada","very likely"
"female","d.k.","refused","canada","very unlikely"
"female","ndp","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","somewhat likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","d.k.","somewhat opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","reform","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","none","verymuch opposed","canada","very unlikely"
"female","liberal","verymuch opposed","canada","very unlikely"
"female","liberal","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","conservative","verymuch opposed","canada","d.k."
"female","d.k.","somewhat opposed","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
"female","liberal","verymuch opposed","canada","somewhat likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","refused","verymuch opposed","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
"female","ndp","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","conservative","verymuch opposed","canada","very likely"
"female","conservative","verymuch opposed","canada","somewhat likely"
"male","liberal","verymuch opposed","canada","very likely"
"female","liberal","somewhat opposed","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
NA,"d.k.","verymuch opposed","canada","very likely"
"male","ndp","verymuch opposed","canada","very unlikely"
"female","conservative","somewhat opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","conservative","somewhat opposed","canada","somewhatunlikely"
"female","d.k.","somewhat opposed","canada","very likely"
"female","conservative","somewhat favour","other european","very likely"
"male","conservative","verymuch opposed","canada","very likely"
"male","liberal","somewhat opposed","germany","very likely"
"female","none","somewhat favour","canada","somewhatunlikely"
"female","liberal","verymuch opposed","canada","very likely"
"female","refused","somewhat favour","canada","very likely"
"female","liberal","verymuch opposed","canada","somewhat likely"
"male","liberal","verymuch opposed","canada","very likely"
"female","liberal","somewhat opposed","canada","very likely"
"female","refused","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"male","refused","verymuch favour","canada","very likely"
"male","d.k.","somewhat favour","canada","very likely"
"male","conservative","verymuch opposed","canada","somewhat likely"
"male","d.k.","verymuch opposed","canada","very likely"
NA,"d.k.","verymuch opposed","canada","d.k."
"female","d.k.","verymuch opposed","canada","somewhat likely"
"female","liberal","somewhat opposed","canada","very likely"
"male","conservative","somewhat opposed","canada","very likely"
"female","will not vote","verymuch opposed","canada","very unlikely"
"female","liberal","somewhat favour","canada","somewhat likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","reform","verymuch opposed","canada","very likely"
"female","liberal","somewhat opposed","canada","very likely"
"female","refused","somewhat favour","canada","very likely"
"male","liberal","somewhat opposed","canada","very likely"
"female","liberal","somewhat opposed","canada","very likely"
"female","conservative","somewhat opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","reform","verymuch opposed","canada","very likely"
"female","conservative","verymuch opposed","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
"female","reform","somewhat favour","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"female","d.k.","somewhat opposed","canada","somewhatunlikely"
"female","liberal","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","ndp","verymuch opposed","canada","very unlikely"
"female","liberal","somewhat favour","canada","very likely"
"female","d.k.","verymuch opposed","canada","d.k."
"female","ndp","verymuch opposed","canada","very likely"
"male","liberal","somewhat opposed","canada","somewhatunlikely"
"male","other","verymuch opposed","canada","somewhat likely"
"female","ndp","verymuch opposed","canada","somewhat likely"
"female","other","verymuch opposed","canada","very likely"
"male","refused","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"male","conservative","somewhat favour","canada","somewhat likely"
"male","liberal","somewhat opposed","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
NA,"d.k.","verymuch opposed","canada","very likely"
NA,"conservative","somewhat opposed","canada","very likely"
